TP;TN;FN;FP;
13;386;3932;43371;data\trainings_results\models\R4c_evaluate_fux_rules_from_two_sides_rule_targets\000_epoch_R4c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;399;0;47303;data\trainings_results\models\R4c_evaluate_fux_rules_from_two_sides_rule_targets\001_epoch_R4c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;399;0;47303;data\trainings_results\models\R4c_evaluate_fux_rules_from_two_sides_rule_targets\002_epoch_R4c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;399;0;47303;data\trainings_results\models\R4c_evaluate_fux_rules_from_two_sides_rule_targets\003_epoch_R4c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
6;393;50;47253;data\trainings_results\models\R4c_evaluate_fux_rules_from_two_sides_rule_targets\004_epoch_R4c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
15;384;114;47189;data\trainings_results\models\R4c_evaluate_fux_rules_from_two_sides_rule_targets\005_epoch_R4c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
25;374;181;47122;data\trainings_results\models\R4c_evaluate_fux_rules_from_two_sides_rule_targets\006_epoch_R4c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
26;373;242;47061;data\trainings_results\models\R4c_evaluate_fux_rules_from_two_sides_rule_targets\007_epoch_R4c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
22;377;168;47135;data\trainings_results\models\R4c_evaluate_fux_rules_from_two_sides_rule_targets\008_epoch_R4c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
24;375;209;47094;data\trainings_results\models\R4c_evaluate_fux_rules_from_two_sides_rule_targets\009_epoch_R4c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
36;363;289;47014;data\trainings_results\models\R4c_evaluate_fux_rules_from_two_sides_rule_targets\010_epoch_R4c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
25;374;183;47120;data\trainings_results\models\R4c_evaluate_fux_rules_from_two_sides_rule_targets\011_epoch_R4c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
25;374;219;47084;data\trainings_results\models\R4c_evaluate_fux_rules_from_two_sides_rule_targets\012_epoch_R4c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
31;368;255;47048;data\trainings_results\models\R4c_evaluate_fux_rules_from_two_sides_rule_targets\013_epoch_R4c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
34;365;281;47022;data\trainings_results\models\R4c_evaluate_fux_rules_from_two_sides_rule_targets\014_epoch_R4c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
27;372;232;47071;data\trainings_results\models\R4c_evaluate_fux_rules_from_two_sides_rule_targets\015_epoch_R4c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
33;366;208;47095;data\trainings_results\models\R4c_evaluate_fux_rules_from_two_sides_rule_targets\016_epoch_R4c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
